2024 Chiefs,J Hurts,B Mayfield,B Robinson Jr.,A Jones,T Pollard,M Evans,A-Ra St. Brown,D Adams,C Olave,T McBride
Brule's Rules,J Love,D'Von Achane,Z Charbonnet,G Wilson,J Jennings,C Sutton,M Pittman,C Kirk,Q Johnston,I Likely
Dumpster Fire Dynasty,K Murray,M Penix Jr.,R White,R Stevenson,W Shipley,A Gibson,J Waddle,D London,A Pierce,C Otton
KamaramarHAAA!,J Burrow,B Nix,A Kamara,J Cook,J.K. Dobbins,B Irving,T Hill,K Coleman,W'Dale Robinson,S Diggs
New Age Outlaws,D Prescott,C.J. Stroud,J Fields,T Allgeier,J Jacobs,R Davis,B Thomas Jr.,X Worthy,B Aiyuk,T Kraft
Space Force,J Allen,J Conner,T Etienne,K Walker III,J Downs,A.J. Brown,L McConkey,C Lamb,E Engram,Eagles
The Echo Bears,P Mahomes,D Henry,C Hubbard,D Mooney,Z Flowers,J'Marr Chase,R Rice,X Legette,C Godwin,T Kelce
The Four Horsemen on Vacation,J Daniels,C McCaffrey,D'Andre Swift,T Benson,D Smith,D Metcalf,C Kupp,T Higgins,R Shaheed,B Bowers
The Nightmen,J Goff,B Purdy,C Brown,N Harris,I Pacheco,B Allen,G Pickens,J Addison,M Nabers,T.J. Hockenson
The Power of Grayskull,D Maye,C Williams,S Barkley,B Hall,J Warren,J Smith-Njigba,M Harrison Jr.,R Odunze,J Jeudy,G Kittle
The Villains,L Jackson,J Mixon,K Williams,J Taylor,T Bigsby,T McLaurin,J Williams,R Doubs,R Pearsall,S LaPorta
Van Buren Boys,J Herbert,B Robinson,J Gibbs,D Montgomery,D Moore,P Nacua,J Jefferson,C Ridley,N Collins,M Andrews
