#,Overall,Team,Pos,ADV
1,Ja'Marr Chase,CIN,WR,$61
2,Saquon Barkley,PHI,RB,$52
3,Bijan Robinson,ATL,RB,$50
4,Jahmyr Gibbs,DET,RB,$48
5,Justin Jefferson,MIN,WR,$44
6,CeeDee Lamb,DAL,WR,$43
7,Christian McCaffrey,SF,RB,$40
8,Derrick Henry,BAL,RB,$40
9,Malik Nabers,NYG,WR,$38
10,Puka Nacua,LAR,WR,$37
11,De'Von Achane,MIA,RB,$36
12,Amon-Ra St. Brown,DET,WR,$36
13,Josh Jacobs,GB,RB,$35
14,Nico Collins,HOU,WR,$35
15,Jonathan Taylor,IND,RB,$34
16,Brian Thomas Jr.,JAC,WR,$34
17,Brock Bowers,LV,TE,$34
18,Ashton Jeanty,LV,RB,$33
19,Josh Allen,BUF,QB,$31
20,Kyren Williams,LAR,RB,$31
21,Chase Brown,CIN,RB,$31
22,Trey McBride,ARI,TE,$31
23,Bucky Irving,TB,RB,$30
24,Drake London,ATL,WR,$30
25,Lamar Jackson,BAL,QB,$29
26,A.J. Brown,PHI,WR,$28
27,Tyreek Hill,MIA,WR,$27
28,George Kittle,SF,TE,$27
29,Ladd McConkey,LAC,WR,$26
30,James Cook,BUF,RB,$25
31,Jalen Hurts,PHI,QB,$24
32,Mike Evans,TB,WR,$24
33,Jayden Daniels,WAS,QB,$23
34,James Conner,ARI,RB,$23
35,Alvin Kamara,NO,RB,$23
36,Tee Higgins,CIN,WR,$23
37,Chuba Hubbard,CAR,RB,$22
38,Terry McLaurin,WAS,WR,$22
39,Davante Adams,LAR,WR,$22
40,Jaxon Smith-Njigba,SEA,WR,$21
41,Breece Hall,NYJ,RB,$19
42,Omarion Hampton,LAC,RB,$19
43,Kenneth Walker III,SEA,RB,$19
44,DK Metcalf,PIT,WR,$19
45,Joe Burrow,CIN,QB,$18
46,Marvin Harrison Jr.,ARI,WR,$18
47,Xavier Worthy,KC,WR,$17
48,Garrett Wilson,NYJ,WR,$17
49,Tony Pollard,TEN,RB,$16
50,DJ Moore,CHI,WR,$16
51,Sam LaPorta,DET,TE,$16
52,TreVeyon Henderson,NE,RB,$15
53,D'Andre Swift,CHI,RB,$15
54,Zay Flowers,BAL,WR,$15
55,David Montgomery,DET,RB,$14
56,Aaron Jones Sr.,MIN,RB,$14
57,Courtland Sutton,DEN,WR,$14
58,Tetairoa McMillan,CAR,WR,$14
59,Travis Kelce,KC,TE,$14
60,Patrick Mahomes II,KC,QB,$13
61,RJ Harvey,DEN,RB,$12
62,DeVonta Smith,PHI,WR,$12
63,Jameson Williams,DET,WR,$12
64,Jerry Jeudy,CLE,WR,$12
65,Mark Andrews,BAL,TE,$12
66,Isiah Pacheco,KC,RB,$11
67,Calvin Ridley,TEN,WR,$11
68,Baker Mayfield,TB,QB,$10
69,Tyrone Tracy Jr.,NYG,RB,$10
70,George Pickens,DAL,WR,$10
71,David Njoku,CLE,TE,$10
72,T.J. Hockenson,MIN,TE,$10
73,Kyler Murray,ARI,QB,$9
74,Kaleb Johnson,PIT,RB,$9
75,Jaylen Waddle,MIA,WR,$9
76,Jaylen Warren,PIT,RB,$8
77,Brock Purdy,SF,QB,$7
78,Austin Ekeler,WAS,RB,$7
79,Deebo Samuel Sr.,WAS,WR,$7
80,Travis Hunter,JAC,WR,$7
81,Bo Nix,DEN,QB,$6
82,Jacory Croskey-Merritt,WAS,RB,$6
83,Zach Charbonnet,SEA,RB,$6
84,Rome Odunze,CHI,WR,$6
85,Jakobi Meyers,LV,WR,$6
86,Matthew Golden,GB,WR,$6
87,Javonte Williams,DAL,RB,$5
88,J.K. Dobbins,DEN,RB,$5
89,Travis Etienne Jr.,JAC,RB,$5
90,Stefon Diggs,NE,WR,$5
91,Chris Olave,NO,WR,$5
92,Ricky Pearsall,SF,WR,$5
93,Cooper Kupp,SEA,WR,$5
94,Tyler Warren,IND,TE,$5
95,Justin Fields,NYJ,QB,$4
96,Rhamondre Stevenson,NE,RB,$4
97,Jordan Mason,MIN,RB,$4
98,Joe Mixon,HOU,RB,$4
99,Jerome Ford,CLE,RB,$4
100,Rachaad White,TB,RB,$3
101,Michael Pittman Jr.,IND,WR,$3
102,Emeka Egbuka,TB,WR,$3
103,Jauan Jennings,SF,WR,$3
104,Evan Engram,DEN,TE,$3
105,Tucker Kraft,GB,TE,$3
106,J.J. McCarthy,MIN,QB,$2
107,Dak Prescott,DAL,QB,$2
108,Justin Herbert,LAC,QB,$2
109,Quinshon Judkins,CLE,RB,$2
110,Cam Skattebo,NYG,RB,$2
111,Nick Chubb,HOU,RB,$2
112,Tank Bigsby,JAC,RB,$2
113,Dylan Sampson,CLE,RB,$2
114,Trey Benson,ARI,RB,$2
115,Jaydon Blue,DAL,RB,$2
116,Jake Ferguson,DAL,TE,$2
117,Kyle Pitts Sr.,ATL,TE,$2
118,Philadelphia Eagles,PHI,DST,$2
119,Denver Broncos,DEN,DST,$2
120,Caleb Williams,CHI,QB,$1
121,Jared Goff,DET,QB,$1
122,Najee Harris,LAC,RB,$1
123,Keon Coleman,BUF,WR,$1
124,Khalil Shakir,BUF,WR,$1
125,Rashid Shaheed,NO,WR,$1
126,Darnell Mooney,ATL,WR,$1
127,Chris Godwin Jr.,TB,WR,$1
128,Jordan Addison,MIN,WR,$1
129,Dallas Goedert,PHI,TE,$1
130,Zach Ertz,WAS,TE,$1
131,Dalton Kincaid,BUF,TE,$1
132,Buffalo Bills,BUF,DST,$1
133,Houston Texans,HOU,DST,$1
134,Baltimore Ravens,BAL,DST,$1
135,Green Bay Packers,GB,DST,$1
136,Pittsburgh Steelers,PIT,DST,$1
137,Minnesota Vikings,MIN,DST,$1
138,New York Giants,NYG,DST,$1
139,Dallas Cowboys,DAL,DST,$1
140,Brandon Aubrey,DAL,K,$1
141,Matt Gay,WAS,K,$1
142,Chase McLaughlin,TB,K,$1
143,Jake Elliott,PHI,K,$1
144,Tyler Bass,BUF,K,$1
145,Cameron Dicker,LAC,K,$1
146,Tyler Loop,BAL,K,$1
147,Jake Bates,DET,K,$1
148,Evan McPherson,CIN,K,$1
149,Harrison Butker,KC,K,$1
150,Ka'imi Fairbairn,HOU,K,$0
151,Brandon McManus,GB,K,$0
152,Chris Boswell,PIT,K,$0
153,Younghoe Koo,ATL,K,$0
154,Wil Lutz,DEN,K,$0
155,Will Reichard,MIN,K,$0
156,Joshua Karty,LAR,K,$0
157,Jake Moody,SF,K,$0
158,Detroit Lions,DET,DST,$0
159,Los Angeles Rams,LAR,DST,$0
160,Los Angeles Chargers,LAC,DST,$0
161,San Francisco 49ers,SF,DST,$0
162,Washington Commanders,WAS,DST,$0
163,Tampa Bay Buccaneers,TB,DST,$0
164,Kansas City Chiefs,KC,DST,$0
165,Seattle Seahawks,SEA,DST,$0
166,Chicago Bears,CHI,DST,$0
167,Indianapolis Colts,IND,DST,$0
168,Arizona Cardinals,ARI,DST,$0
169,Cleveland Browns,CLE,DST,$0
170,New York Jets,NYJ,DST,$0
171,Tyler Allgeier,ATL,RB,$0
172,Ray Davis,BUF,RB,$0
173,C.J. Stroud,HOU,QB,$0
174,Drake Maye,NE,QB,$0
175,Jordan Love,GB,QB,$0
176,Trevor Lawrence,JAC,QB,$0
177,Jayden Reed,GB,WR,$0
178,Josh Downs,IND,WR,$0
179,Rashee Rice,KC,WR,$0
180,Marvin Mims Jr.,DEN,WR,$0
181,Chad Ryland,ARI,K,$0
182,Spencer Shrader,IND,K,$0
183,Daniel Carlson,LV,K,$0
184,Cam Little,JAC,K,$0
185,Cairo Santos,CHI,K,$0
186,Jason Myers,SEA,K,$0
187,Hunter Henry,NE,TE,$0
188,Colston Loveland,CHI,TE,$0
189,Brenton Strange,JAC,TE,$0
190,Cade Otton,TB,TE,$0
191,Cincinnati Bengals,CIN,DST,$0
192,Las Vegas Raiders,LV,DST,$0
193,Miami Dolphins,MIA,DST,$0
194,Jacksonville Jaguars,JAC,DST,$0
195,New Orleans Saints,NO,DST,$0
196,Atlanta Falcons,ATL,DST,$0
197,Bhayshul Tuten,JAC,RB,$0
198,Tyjae Spears,TEN,RB,$0
199,Tennessee Titans,TEN,DST,$0
200,Robbie Ouzts,SEA,RB,$0
201,Rico Dowdle,CAR,RB,$0
202,Braelon Allen,NYJ,RB,$0
203,New England Patriots,NE,DST,$0
204,Carolina Panthers,CAR,DST,$0
205,Kareem Hunt,KC,RB,$0
206,Rashod Bateman,BAL,WR,$0
207,Xavier Legette,CAR,WR,$0
208,Cedric Tillman,CLE,WR,$0
209,Nick Folk,NYJ,K,$0
210,Jonnu Smith,PIT,TE,$0
211,Chig Okonkwo,TEN,TE,$0
212,Darren Waller,MIA,TE,$0
213,Mike Gesicki,CIN,TE,$0
214,Mason Taylor,NYJ,TE,$0
215,Kendre Miller,NO,RB,$0
216,Ollie Gordon II,MIA,RB,$0
217,Roschon Johnson,CHI,RB,$0
218,Brian Robinson Jr.,SF,RB,$0
219,Bryce Young,CAR,QB,$0
220,Michael Penix Jr.,ATL,QB,$0
221,Tua Tagovailoa,MIA,QB,$0
222,Geno Smith,LV,QB,$0
223,Matthew Stafford,LAR,QB,$0
224,Marquise Brown,KC,WR,$0
225,Keenan Allen,LAC,WR,$0
226,Christian Kirk,HOU,WR,$0
227,Dalton Schultz,HOU,TE,$0
228,Isaiah Likely,BAL,TE,$0
229,Pat Freiermuth,PIT,TE,$0
230,Juwan Johnson,NO,TE,$0
231,Theo Johnson,NYG,TE,$0
232,Tyler Higbee,LAR,TE,$0
233,Jaylen Wright,MIA,RB,$0
234,Justice Hill,BAL,RB,$0
235,Blake Corum,LAR,RB,$0
236,Raheem Mostert,LV,RB,$0
237,MarShawn Lloyd,GB,RB,$0
238,Cam Ward,TEN,QB,$0
239,Sam Darnold,SEA,QB,$0
240,DeMario Douglas,NE,WR,$0
241,Wan'Dale Robinson,NYG,WR,$0
242,Jayden Higgins,HOU,WR,$0
243,Brandon Aiyuk,SF,WR,$0
244,Ja'Tavion Sanders,CAR,TE,$0
245,Elijah Arroyo,SEA,TE,$0
246,Woody Marks,HOU,RB,$0
247,Ty Johnson,BUF,RB,$0
248,Miles Sanders,DAL,RB,$0
249,Keaton Mitchell,BAL,RB,$0
250,Tahj Brooks,CIN,RB,$0
251,Samaje Perine,CIN,RB,$0
252,Chris Rodriguez Jr.,WAS,RB,$0
253,Romeo Doubs,GB,WR,$0
