"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","25","1","1","1.0","0.0","0"
"2",1,"Justin Jefferson",MIN,"WR2","26","2","2","2.0","0.0","0"
"3",1,"CeeDee Lamb",DAL,"WR3","26","3","6","4.2","1.3","+2"
"4",1,"Bijan Robinson",ATL,"RB1","23","3","6","4.4","1.1","-1"
"5",1,"Malik Nabers",NYG,"WR4","22","3","7","4.5","1.2","-1"
"6",2,"Jahmyr Gibbs",DET,"RB2","23","4","9","6.3","1.5","0"
"7",2,"Ashton Jeanty",LV,"RB3","21","6","10","7.8","1.3","0"
"8",2,"Brian Thomas Jr.",JAC,"WR5","22","5","10","8.1","1.5","+3"
"9",2,"Puka Nacua",LAR,"WR6","24","6","11","8.7","1.4","-1"
"10",2,"Amon-Ra St. Brown",DET,"WR7","25","6","14","10.4","2.3","-1"
"11",2,"Nico Collins",HOU,"WR8","26","10","13","11.4","1.0","+2"
"12",3,"Drake London",ATL,"WR9","24","9","16","13.0","2.0","+2"
"13",3,"Saquon Barkley",PHI,"RB4","28","10","23","15.1","3.6","-3"
"14",3,"Brock Bowers",LV,"TE1","22","8","28","15.8","6.3","-2"
"15",3,"Ladd McConkey",LAC,"WR10","23","15","24","17.4","2.5","0"
"16",3,"De'Von Achane",MIA,"RB5","23","14","26","19.0","4.5","0"
"17",3,"Jaxon Smith-Njigba",SEA,"WR11","23","14","31","19.4","4.4","0"
"18",3,"A.J. Brown",PHI,"WR12","28","13","26","19.6","3.9","+2"
"19",3,"Omarion Hampton",LAC,"RB6","22","15","28","19.9","4.8","+4"
"20",4,"Garrett Wilson",NYJ,"WR13","25","19","27","21.8","2.6","+6"
"21",4,"Tetairoa McMillan",CAR,"WR14","22","15","37","23.3","6.7","+9"
"22",4,"Marvin Harrison Jr.",ARI,"WR15","23","20","31","23.9","3.3","-3"
"23",4,"Jonathan Taylor",IND,"RB7","26","12","49","24.6","10.4","+4"
"24",4,"Trey McBride",ARI,"TE2","25","13","33","24.6","5.8","-6"
"25",4,"Josh Allen",BUF,"QB1","29","19","36","26.1","5.0","-4"
"26",4,"Jayden Daniels",WAS,"QB2","24","18","38","27.1","4.5","-2"
"27",4,"Bucky Irving",TB,"RB8","23","23","40","27.7","5.2","-5"
"28",4,"Tee Higgins",CIN,"WR16","26","21","35","28.6","3.7","+1"
"29",4,"Lamar Jackson",BAL,"QB3","28","20","53","28.8","8.9","-4"
"30",4,"Travis Hunter",JAC,"WR17","22","22","36","29.6","4.6","+2"
"31",4,"Breece Hall",NYJ,"RB9","24","18","54","31.0","10.1","-3"
"32",5,"Rashee Rice",KC,"WR18","25","29","50","35.6","7.3","-1"
"33",5,"Joe Burrow",CIN,"QB4","28","22","53","37.3","7.5","+5"
"34",5,"DeVonta Smith",PHI,"WR19","26","27","45","37.5","5.4","+3"
"35",5,"TreVeyon Henderson",NE,"RB10","22","27","52","37.8","7.1","+1"
"36",5,"Chase Brown",CIN,"RB11","25","20","64","39.4","11.2","+10"
"37",5,"Kyren Williams",LAR,"RB12","25","22","52","39.4","7.2","-4"
"38",5,"Josh Jacobs",GB,"RB13","27","24","63","39.9","12.0","+3"
"39",5,"Sam LaPorta",DET,"TE3","24","30","58","41.2","6.9","+5"
"40",5,"Emeka Egbuka",TB,"WR20","22","30","55","41.3","8.3","+11"
"41",5,"Jalen Hurts",PHI,"QB5","27","34","51","42.3","5.1","-2"
"42",5,"Zay Flowers",BAL,"WR21","24","36","51","42.7","5.0","+6"
"43",5,"Rome Odunze",CHI,"WR22","23","34","59","42.9","7.1","+2"
"44",5,"James Cook",BUF,"RB14","25","33","55","44.5","6.9","+5"
"45",6,"Patrick Mahomes II",KC,"QB6","29","38","54","46.2","5.1","+16"
"46",6,"DK Metcalf",PIT,"WR23","27","36","58","46.4","6.5","+9"
"47",6,"Xavier Worthy",KC,"WR24","22","30","79","47.2","15.4","-5"
"48",6,"Kenneth Walker III",SEA,"RB15","24","38","63","47.7","7.9","-5"
"49",6,"Jameson Williams",DET,"WR25","24","41","79","50.5","11.6","+9"
"50",6,"Jordan Addison",MIN,"WR26","23","39","71","51.5","8.3","+13"
"51",6,"Jaylen Waddle",MIA,"WR27","26","38","67","52.5","9.5","+11"
"52",6,"Tyler Warren",IND,"TE4","23","41","73","53.8","10.5","+5"
"53",6,"DJ Moore",CHI,"WR28","28","33","79","54.2","12.4","-1"
"54",6,"RJ Harvey",DEN,"RB16","24","35","70","54.8","10.1","-4"
"55",6,"George Kittle",SF,"TE5","31","47","75","56.6","8.5","-2"
"56",6,"Christian McCaffrey",SF,"RB17","29","48","71","57.0","7.0","-21"
"57",6,"T.J. Hockenson",MIN,"TE6","28","47","72","59.0","8.2","+12"
"58",6,"George Pickens",DAL,"WR29","24","39","83","59.4","13.5","+2"
"59",6,"Derrick Henry",BAL,"RB18","31","50","67","59.9","5.1","-25"
"60",6,"Terry McLaurin",WAS,"WR30","29","47","81","60.1","9.3","-20"
"61",6,"Chris Olave",NO,"WR31","25","37","77","60.2","11.6","+3"
"62",6,"Justin Herbert",LAC,"QB7","27","46","85","60.3","11.1","+31"
"63",7,"Kaleb Johnson",PIT,"RB19","22","52","79","63.5","9.6","-9"
"64",7,"Colston Loveland",CHI,"TE7","21","50","75","65.5","6.5","+2"
"65",7,"Jerry Jeudy",CLE,"WR32","26","46","80","67.5","9.7","+9"
"66",7,"Bo Nix",DEN,"QB8","25","47","106","70.9","17.8","+6"
"67",7,"Ricky Pearsall",SF,"WR33","24","37","93","71.4","15.1","+13"
"68",7,"Drake Maye",NE,"QB9","23","52","93","72.0","13.3","+15"
"69",7,"C.J. Stroud",HOU,"QB10","23","56","103","73.5","15.3","+34"
"70",7,"Matthew Golden",GB,"WR34","22","57","93","74.0","9.4","0"
"71",7,"Davante Adams",LAR,"WR35","32","58","94","74.5","11.6","-3"
"72",7,"Quinshon Judkins",CLE,"RB20","21","62","106","74.9","13.4","-25"
"73",7,"Chuba Hubbard",CAR,"RB21","26","65","86","76.1","5.5","-14"
"74",7,"Tucker Kraft",GB,"TE8","24","57","137","77.7","21.1","+22"
"75",7,"Caleb Williams",CHI,"QB11","23","56","128","78.3","24.5","+9"
"76",7,"Mike Evans",TB,"WR36","32","64","92","78.8","7.9","-11"
"77",7,"David Njoku",CLE,"TE9","29","62","110","79.6","12.4","+29"
"78",7,"Tyreek Hill",MIA,"WR37","31","69","102","80.0","8.2","-22"
"79",7,"Mark Andrews",BAL,"TE10","30","57","121","80.5","17.8","+8"
"80",7,"David Montgomery",DET,"RB22","28","78","91","83.1","4.2","-4"
"81",7,"Alvin Kamara",NO,"RB23","30","67","98","84.0","10.4","-14"
"82",8,"Jayden Higgins",HOU,"WR38","22","70","103","85.0","11.3","0"
"83",8,"Courtland Sutton",DEN,"WR39","29","61","97","86.1","11.3","-10"
"84",8,"Tony Pollard",TEN,"RB24","28","72","98","87.7","6.2","+16"
"85",8,"Josh Downs",IND,"WR40","24","57","116","88.5","15.6","+7"
"86",8,"Dalton Kincaid",BUF,"TE11","25","69","115","88.8","13.9","+8"
"87",8,"Kyler Murray",ARI,"QB12","28","58","137","89.0","28.8","+10"
"88",8,"Jordan Love",GB,"QB13","26","61","125","89.0","16.8","+33"
"89",8,"Brandon Aiyuk",SF,"WR41","27","67","146","89.1","20.7","-8"
"90",8,"D'Andre Swift",CHI,"RB25","26","81","102","89.3","5.9","-1"
"91",8,"Luther Burden III",CHI,"WR42","21","66","116","90.2","15.8","-16"
"92",8,"Brock Purdy",SF,"QB14","25","55","143","90.7","25.1","+34"
