"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG","STD.DEV","ECR vs ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","25","1","1","1.0","0.0","0"
"2",1,"Justin Jefferson",MIN,"WR2","26","2","2","2.0","0.0","0"
"3",1,"CeeDee Lamb",DAL,"WR3","26","3","6","4.2","1.3","0"
"4",1,"Bijan Robinson",ATL,"RB1","23","3","6","4.3","1.1","0"
"5",1,"Malik Nabers",NYG,"WR4","22","3","7","4.6","1.1","0"
"6",2,"Jahmyr Gibbs",DET,"RB2","23","4","9","6.2","1.5","0"
"7",2,"Ashton Jeanty",LV,"RB3","21","6","10","7.8","1.4","0"
"8",2,"Brian Thomas Jr.",JAC,"WR5","22","5","10","7.9","1.4","+2"
"9",2,"Puka Nacua",LAR,"WR6","24","6","11","8.7","1.5","0"
"10",2,"Amon-Ra St. Brown",DET,"WR7","25","7","14","10.8","1.9","-2"
"11",2,"Nico Collins",HOU,"WR8","26","10","13","11.3","0.9","+2"
"12",3,"Drake London",ATL,"WR9","24","9","16","12.9","2.1","+2"
"13",3,"Brock Bowers",LV,"TE1","22","8","28","15.2","6.2","-1"
"14",3,"Saquon Barkley",PHI,"RB4","28","10","23","15.5","3.6","-3"
"15",3,"Ladd McConkey",LAC,"WR10","23","15","24","17.5","2.6","0"
"16",3,"A.J. Brown",PHI,"WR11","28","13","26","19.3","4.0","+4"
"17",3,"De'Von Achane",MIA,"RB5","23","14","26","19.5","4.4","-1"
"18",3,"Omarion Hampton",LAC,"RB6","22","15","28","19.5","4.8","+5"
"19",3,"Jaxon Smith-Njigba",SEA,"WR12","23","14","31","19.8","4.5","-2"
"20",4,"Garrett Wilson",NYJ,"WR13","25","19","27","21.9","2.7","+6"
"21",4,"Tetairoa McMillan",CAR,"WR14","22","15","37","23.0","7.0","+11"
"22",4,"Marvin Harrison Jr.",ARI,"WR15","23","20","31","23.6","3.3","-3"
"23",4,"Trey McBride",ARI,"TE2","25","13","33","23.9","5.7","-5"
"24",4,"Jonathan Taylor",IND,"RB7","26","12","49","25.5","10.5","+3"
"25",4,"Josh Allen",BUF,"QB1","29","19","36","26.8","4.6","-4"
"26",4,"Jayden Daniels",WAS,"QB2","24","18","38","27.0","4.7","-2"
"27",4,"Bucky Irving",TB,"RB8","23","24","40","28.2","5.2","-5"
"28",4,"Tee Higgins",CIN,"WR16","26","21","35","28.4","3.9","+1"
"29",4,"Lamar Jackson",BAL,"QB3","28","20","53","29.2","9.3","-4"
"30",4,"Travis Hunter",JAC,"WR17","22","22","36","29.4","4.7","+1"
"31",5,"Breece Hall",NYJ,"RB9","24","20","54","32.3","9.7","-3"
"32",5,"Rashee Rice",KC,"WR18","25","29","50","36.3","7.3","-2"
"33",5,"Joe Burrow",CIN,"QB4","28","22","53","37.4","7.8","+5"
"34",5,"TreVeyon Henderson",NE,"RB10","22","27","52","37.5","7.4","+2"
"35",5,"DeVonta Smith",PHI,"WR19","26","27","45","37.5","5.7","+2"
"36",5,"Josh Jacobs",GB,"RB11","27","24","56","37.6","10.0","+4"
"37",5,"Kyren Williams",LAR,"RB12","25","22","52","39.6","7.5","-3"
"38",5,"Chase Brown",CIN,"RB13","25","20","64","39.8","11.7","+8"
"39",5,"Sam LaPorta",DET,"TE3","24","30","58","41.0","7.3","+5"
"40",5,"Emeka Egbuka",TB,"WR20","22","30","55","42.0","8.3","+11"
"41",5,"Jalen Hurts",PHI,"QB5","27","34","51","42.3","5.3","-2"
"42",5,"Rome Odunze",CHI,"WR21","23","34","59","42.8","7.5","+3"
"43",5,"Zay Flowers",BAL,"WR22","24","36","51","43.1","5.1","+5"
"44",5,"James Cook",BUF,"RB14","25","33","53","43.4","6.3","+5"
"45",6,"Patrick Mahomes II",KC,"QB6","29","38","54","46.3","5.3","+15"
"46",6,"DK Metcalf",PIT,"WR23","27","36","58","47.0","6.4","+9"
"47",6,"Xavier Worthy",KC,"WR24","22","30","79","47.1","16.1","-5"
"48",6,"Kenneth Walker III",SEA,"RB15","24","38","63","47.5","8.2","-5"
"49",6,"Jameson Williams",DET,"WR25","24","41","68","47.6","7.6","+9"
"50",6,"Jordan Addison",MIN,"WR26","23","39","71","51.2","8.6","+13"
"51",6,"Jaylen Waddle",MIA,"WR27","26","38","67","52.0","9.9","+11"
"52",6,"RJ Harvey",DEN,"RB16","24","35","64","53.3","9.3","-2"
"53",6,"Tyler Warren",IND,"TE4","23","41","73","54.3","10.9","+4"
"54",6,"Christian McCaffrey",SF,"RB17","29","48","65","55.6","5.7","-19"
"55",6,"DJ Moore",CHI,"WR28","28","37","79","56.3","11.0","-3"
"56",6,"George Pickens",DAL,"WR29","24","39","73","57.0","11.7","+3"
"57",6,"George Kittle",SF,"TE5","31","47","75","57.1","8.8","-4"
"58",6,"Derrick Henry",BAL,"RB18","31","50","66","59.2","4.8","-25"
"59",6,"Chris Olave",NO,"WR30","25","37","77","59.7","12.0","+5"
"60",6,"T.J. Hockenson",MIN,"TE6","28","48","72","60.2","7.6","+9"
"61",6,"Terry McLaurin",WAS,"WR31","29","47","81","60.8","9.4","-20"
"62",6,"Justin Herbert",LAC,"QB7","27","46","85","61.7","10.6","+31"
"63",7,"Kaleb Johnson",PIT,"RB19","22","52","79","63.6","10.1","-9"
"64",7,"Colston Loveland",CHI,"TE7","21","50","75","65.6","6.8","+2"
"65",7,"Jerry Jeudy",CLE,"WR32","26","46","80","66.5","9.6","+9"
"66",7,"Ricky Pearsall",SF,"WR33","24","37","93","69.2","14.1","+14"
"67",7,"Bo Nix",DEN,"QB8","25","47","106","72.9","17.4","+5"
"68",7,"C.J. Stroud",HOU,"QB9","23","56","103","73.6","16.0","+35"
"69",7,"Drake Maye",NE,"QB10","23","52","93","73.8","12.7","+14"
"70",7,"Matthew Golden",GB,"WR34","22","57","93","74.0","9.9","0"
"71",7,"Quinshon Judkins",CLE,"RB20","21","62","106","74.9","14.1","-24"
"72",7,"Chuba Hubbard",CAR,"RB21","26","65","86","76.0","5.8","-11"
"73",7,"Davante Adams",LAR,"WR35","32","59","94","76.2","10.8","-5"
"74",7,"Mike Evans",TB,"WR36","32","64","92","78.1","8.0","-9"
"75",7,"Tucker Kraft",GB,"TE8","24","57","137","78.9","21.8","+20"
"76",7,"Tyreek Hill",MIA,"WR37","31","69","102","80.4","8.5","-20"
"77",7,"Caleb Williams",CHI,"QB11","23","56","128","80.5","24.6","+7"
"78",7,"David Njoku",CLE,"TE9","29","62","110","80.7","12.5","+28"
"79",7,"Mark Andrews",BAL,"TE10","30","57","121","81.7","18.2","+8"
"80",7,"Alvin Kamara",NO,"RB22","30","67","98","83.2","10.6","-13"
"81",7,"Jayden Higgins",HOU,"WR38","22","70","100","83.2","10.2","+1"
"82",7,"David Montgomery",DET,"RB23","28","78","91","83.3","4.3","-6"
"83",8,"Courtland Sutton",DEN,"WR39","29","61","97","85.0","11.3","-10"
"84",8,"Tony Pollard",TEN,"RB24","28","72","98","87.6","6.4","+16"
"85",8,"Isiah Pacheco",KC,"RB25","26","68","115","88.5","14.3","-8"
"86",8,"D'Andre Swift",CHI,"RB26","26","81","102","88.8","6.0","+3"
"87",8,"Brandon Aiyuk",SF,"WR40","27","67","146","89.0","21.7","-6"
"88",8,"Dalton Kincaid",BUF,"TE11","25","69","115","89.5","14.4","+6"
"89",8,"Josh Downs",IND,"WR41","24","57","116","90.0","15.5","+3"
"90",8,"Luther Burden III",CHI,"WR42","21","66","116","90.4","16.5","-15"
"91",8,"Jordan Love",GB,"QB12","26","73","112","90.5","12.4","+30"
"92",8,"Brock Purdy",SF,"QB13","25","55","143","91.4","26.3","+34"
