PLAYER NAME,Team,Position,ADV
Ja'Marr Chase,CIN,WR,$60
Saquon Barkley,PHI,RB,$56
Bijan Robinson,ATL,RB,$52
Jahmyr Gibbs,DET,RB,$49
Derrick Henry,BAL,RB,$48
Justin Jefferson,MIN,WR,$43
Christian McCaffrey,SF,RB,$40
Jonathan Taylor,IND,RB,$39
CeeDee Lamb,DAL,WR,$39
Josh Jacobs,GB,RB,$38
Kyren Williams,LAR,RB,$35
Ashton Jeanty,LV,RB,$35
Nico Collins,HOU,WR,$35
De'Von Achane,MIA,RB,$34
Puka Nacua,LAR,WR,$34
Malik Nabers,NYG,WR,$34
Brian Thomas Jr.,JAC,WR,$33
Josh Allen,BUF,QB,$31
Bucky Irving,TB,RB,$31
Chase Brown,CIN,RB,$31
Amon-Ra St. Brown,DET,WR,$31
George Kittle,SF,TE,$31
Lamar Jackson,BAL,QB,$30
Brock Bowers,LV,TE,$30
James Cook,BUF,RB,$28
A.J. Brown,PHI,WR,$28
Drake London,ATL,WR,$28
Trey McBride,ARI,TE,$27
Jalen Hurts,PHI,QB,$25
Tyreek Hill,MIA,WR,$25
Mike Evans,TB,WR,$25
James Conner,ARI,RB,$24
Ladd McConkey,LAC,WR,$24
Jayden Daniels,WAS,QB,$23
Chuba Hubbard,CAR,RB,$23
Tee Higgins,CIN,WR,$22
Terry McLaurin,WAS,WR,$22
Omarion Hampton,LAC,RB,$21
Davante Adams,LAR,WR,$21
Alvin Kamara,NO,RB,$20
Kenneth Walker III,SEA,RB,$20
Breece Hall,NYJ,RB,$20
DK Metcalf,PIT,WR,$19
Joe Burrow,CIN,QB,$18
Xavier Worthy,KC,WR,$18
Marvin Harrison Jr.,ARI,WR,$18
Tony Pollard,TEN,RB,$17
Jaxon Smith-Njigba,SEA,WR,$17
TreVeyon Henderson,NE,RB,$16
D'Andre Swift,CHI,RB,$16
David Montgomery,DET,RB,$16
Sam LaPorta,DET,TE,$16
Zay Flowers,BAL,WR,$15
Mark Andrews,BAL,TE,$15
Aaron Jones Sr.,MIN,RB,$14
Courtland Sutton,DEN,WR,$14
Jameson Williams,DET,WR,$14
Patrick Mahomes II,KC,QB,$13
DJ Moore,CHI,WR,$13
Garrett Wilson,NYJ,WR,$13
RJ Harvey,DEN,RB,$12
Isiah Pacheco,KC,RB,$12
Calvin Ridley,TEN,WR,$12
Tetairoa McMillan,CAR,WR,$12
Kaleb Johnson,PIT,RB,$11
George Pickens,DAL,WR,$11
DeVonta Smith,PHI,WR,$11
Travis Kelce,KC,TE,$11
Baker Mayfield,TB,QB,$10
Tyrone Tracy Jr.,NYG,RB,$10
Jerry Jeudy,CLE,WR,$10
Kyler Murray,ARI,QB,$9
T.J. Hockenson,MIN,TE,$9
Deebo Samuel Sr.,WAS,WR,$8
Ricky Pearsall,SF,WR,$8
David Njoku,CLE,TE,$8
Brock Purdy,SF,QB,$7
Jaylen Warren,PIT,RB,$7
Jaylen Waddle,MIA,WR,$7
Bo Nix,DEN,QB,$6
Jacory Croskey-Merritt,WAS,RB,$6
Austin Ekeler,WAS,RB,$6
Matthew Golden,GB,WR,$6
Travis Hunter,JAC,WR,$6
Zach Charbonnet,SEA,RB,$5
J.K. Dobbins,DEN,RB,$5
Jordan Mason,MIN,RB,$5
Javonte Williams,DAL,RB,$5
Rome Odunze,CHI,WR,$5
Jauan Jennings,SF,WR,$5
Tyler Warren,IND,TE,$5
Justin Fields,NYJ,QB,$4
Rhamondre Stevenson,NE,RB,$4
Travis Etienne Jr.,JAC,RB,$4
Joe Mixon,HOU,RB,$4
Jerome Ford,CLE,RB,$4
Jakobi Meyers,LV,WR,$4
Tucker Kraft,GB,TE,$4
Nick Chubb,HOU,RB,$3
Tank Bigsby,JAC,RB,$3
Chris Olave,NO,WR,$3
Cooper Kupp,SEA,WR,$3
Keon Coleman,BUF,WR,$3
Stefon Diggs,NE,WR,$3
Kyle Pitts Sr.,ATL,TE,$3
J.J. McCarthy,MIN,QB,$2
Dak Prescott,DAL,QB,$2
Justin Herbert,LAC,QB,$2
Quinshon Judkins,CLE,RB,$2
Rachaad White,TB,RB,$2
Trey Benson,ARI,RB,$2
Cam Skattebo,NYG,RB,$2
Dylan Sampson,CLE,RB,$2
Jaydon Blue,DAL,RB,$2
Emeka Egbuka,TB,WR,$2
Rashid Shaheed,NO,WR,$2
Dallas Goedert,PHI,TE,$2
Evan Engram,DEN,TE,$2
Zach Ertz,WAS,TE,$2
Denver Broncos,DEN,DST,$2
Buffalo Bills,BUF,DST,$2
Philadelphia Eagles,PHI,DST,$2
Caleb Williams,CHI,QB,$1
Jared Goff,DET,QB,$1
Najee Harris,LAC,RB,$1
Tyler Allgeier,ATL,RB,$1
Ray Davis,BUF,RB,$1
Jordan Addison,MIN,WR)S,$1
Darnell Mooney,ATL,WR,$1
Michael Pittman Jr.,IND,WR,$1
Jayden Reed,GB,WR,$1
Dalton Kincaid,BUF,TE,$1
Jake Ferguson,DAL,TE,$1
Houston Texans,HOU,DST,$1
Baltimore Ravens,BAL,DST,$1
Pittsburgh Steelers,PIT,DST,$1
Green Bay Packers,GB,DST,$1
Minnesota Vikings,MIN,DST,$1
Dallas Cowboys,DAL,DST,$1
New York Giants,NYG,DST,$1
Brandon Aubrey,DAL,K,$1
Matt Gay,WAS,K,$1
Chase McLaughlin,TB,K,$1
Jake Elliott,PHI,K,$1
Tyler Bass,BUF,K,$1
Cameron Dicker,LAC,K,$1
Tyler Loop,BAL,K,$1
Jake Bates,DET,K,$1
Evan McPherson,CIN,K,$1
